City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nova sintra,14.8667,-24.7167,22.37,73,56,6.01,CV,1690102515
83,colonia,50.9333,6.95,19.68,72,100,4.12,DE,1690102543
84,hithadhoo,-0.6,73.0833,28.52,75,21,3.51,MV,1690102536
85,khorixas,-20.3667,14.9667,26.4,24,0,5.91,NA,1690102931
86,bokoro,12.3807,17.0568,28.44,61,100,5.26,TD,1690102932
87,dunedin,-45.8742,170.5036,9.33,94,100,0.45,NZ,1690102546
88,margaret river,-33.95,115.0667,15.15,69,0,5.31,AU,1690102514
89,stanley,54.868,-1.6985,14.6,94,75,6.17,GB,1690102524
90,ostersund,63.1792,14.6357,12.25,35,100,5.66,SE,1690102934
91,buala,-8.145,159.5921,25.85,88,98,2.17,SB,1690102935
92,port elizabeth,-33.918,25.5701,16.16,59,0,6.17,ZA,1690102520
93,tukrah,32.5341,20.5791,33.86,38,0,4.52,LY,1690102936
94,beyneu,45.3167,55.2,37.16,20,0,2.69,KZ,1690102937
95,cam ranh,11.9214,109.1591,26.98,94,75,2.06,VN,1690102937
96,mount pearl,47.5166,-52.7813,18.58,96,100,1.54,CA,1690102313
97,kanel,15.4916,-13.1763,29.0,84,40,1.03,SN,1690102939
98,nuuk,64.1835,-51.7216,7.34,100,100,1.54,GL,1690102534
99,vorgashor,67.5833,63.95,17.06,93,100,2.74,RU,1690102523
100,rongelap,11.1635,166.8941,28.59,73,17,8.07,MH,1690102516
101,coquimbo,-29.9533,-71.3436,12.85,87,0,5.66,CL,1690102397
102,greymouth,-42.4667,171.2,7.77,88,100,2.15,NZ,1690102873
103,fale old settlement,-9.3852,-171.2468,28.85,73,8,4.85,TK,1690102526
104,inongo,-1.95,18.2667,25.52,60,97,0.52,CD,1690102939
105,es castell,39.8795,4.2854,29.38,58,20,5.66,ES,1690102945
106,sitka,57.0531,-135.33,13.94,94,100,3.6,US,1690102529
107,san antonio de pale,-1.4014,5.6325,23.13,77,100,4.89,GQ,1690102517
108,ipameri,-17.7219,-48.1597,15.43,62,0,2.89,BR,1690102947
109,cestos city,5.46,-9.5828,26.46,76,100,3.75,LR,1690102947
110,mejit,10.2753,170.8646,28.4,73,9,7.72,MH,1690102512
111,hermanus,-34.4187,19.2345,11.56,61,100,4.27,ZA,1690102542
112,kapa'a,22.0752,-159.319,27.18,86,100,6.69,US,1690102560
113,vadso,70.0744,29.7487,10.09,87,75,8.75,NO,1690102562
114,berezovyy,51.6667,135.7,28.12,38,100,3.07,RU,1690102950
115,atafu village,-8.5421,-172.5159,28.77,75,14,5.02,TK,1690102532
116,kodiak,57.79,-152.4072,10.73,87,0,2.57,US,1690102527
117,as sulayyil,20.4607,45.5779,42.14,6,33,3.89,SA,1690102952
118,aroma,15.8167,36.1333,35.12,34,50,9.26,SD,1690102953
119,iskateley,67.6803,53.1512,18.89,80,100,1.23,RU,1690102518
120,rio grande,-32.035,-52.0986,21.08,76,44,6.04,BR,1690102954
121,tralee,52.2704,-9.7026,16.14,94,100,5.14,IE,1690102533
122,crane,31.3974,-102.3501,27.1,44,74,5.43,US,1690102955
123,mount gambier,-37.8333,140.7667,9.63,87,100,1.68,AU,1690102956
124,gornopravdinsk,60.05,69.9,24.95,50,74,2.05,RU,1690102956
125,la'ie,21.6477,-157.9253,26.98,85,34,6.34,US,1690102957
126,burutu,5.3509,5.5076,24.48,91,100,2.97,NG,1690102958
127,tiksi,71.6872,128.8694,6.73,75,70,1.97,RU,1690102532
128,badger,64.8,-147.5333,19.93,82,0,1.54,US,1690102529
129,isafjordur,66.0755,-23.124,10.02,93,100,2.57,IS,1690102511
130,sassandra,4.95,-6.0833,24.05,92,100,1.91,CI,1690102961
131,kokkola,63.8385,23.1307,16.09,82,75,2.57,FI,1690102962
132,fort st. john,56.2499,-120.8529,11.94,94,75,4.12,CA,1690102459
133,golfito,8.639,-83.166,24.07,92,100,0.35,CR,1690102963
134,sweetwater,25.7634,-80.3731,28.89,91,0,2.57,US,1690102554
135,aktau,43.65,51.2,36.32,35,5,2.72,KZ,1690102964
136,arraial do cabo,-22.9661,-42.0278,20.84,87,1,9.36,BR,1690102548
137,lata,40.1629,-8.3327,20.04,59,52,2.22,PT,1690102556
138,saint-francois,46.4154,3.9054,22.69,56,0,2.06,FR,1690102569
139,utrik,11.2278,169.8474,28.32,73,39,7.72,MH,1690102525
